# time, gfp_fluorescence
#-----------------------
2010-06-01T00:08:42,3
2010-06-01T00:18:42,1
2010-06-01T00:28:42,6
2010-06-01T00:38:42,8
2010-06-01T00:48:42,11
2010-06-01T00:58:42,1
2010-06-01T01:08:42,9
2010-06-01T01:18:42,9
2010-06-01T01:28:42,14
2010-06-01T01:38:42,12
2010-06-01T01:48:42,17
2010-06-01T01:58:42,18
2010-06-01T02:08:42,20
2010-06-01T02:18:42,30
2010-06-01T02:28:42,37
2010-06-01T02:38:42,45
2010-06-01T02:48:42,63
2010-06-01T02:58:42,79
2010-06-01T03:08:42,85
2010-06-01T03:18:42,102
2010-06-01T03:28:42,121
2010-06-01T03:38:42,149
2010-06-01T03:48:42,183
2010-06-01T03:58:42,212
2010-06-01T04:08:42,237
2010-06-01T04:18:42,247
2010-06-01T04:28:42,257
2010-06-01T04:38:42,258
2010-06-01T04:48:42,251
2010-06-01T04:58:42,259
2010-06-01T05:08:42,256